speler_naam,rating,speler_id,aliassen
Achraf,970.3555082520536,os1F2tPD0Oy7bFOEh7dx,
Adbulkhadir,864.7846085352725,4WCOYVKQW4ooK5njN72e,
Adersh,971.2013222683908,v2m5DUCVokznZjJRtCx2,
Aju,942.8688413105604,4iW9lRAIAs5VSwuvOGSR,
Ariane,725.6261370814511,EjknDZkbvpK5lmw5TR0B,
Arthur,1100.9709687273744,UK8darKXfXTN6rUwBj52,
Barbara,1114.7718496358136,ZSCEEEYfwzN8ZAuqG1gM,
Bart,1029.8129861736622,lvdod25O3asRuBQh4M9q,
Berkay,952.041697315816,dTzweScSy0P7qXmWeUUv,
Bernd,1323.8440902475545,QgrPk3TyaTlFpjUF4ju9,
Brenda,1145.2262286869557,Qi6IQgVqkno0hcE5piv2,
Britt,953.72307027299,PXqmGgGP450O4Sfx1lFj,
Charlotte,941.9341243089814,bc6R6SVgfkTddK6xueOe,
Daan,1027.342102817808,r6Ih85WRpuONgLLjxRMj,
Dave,1047.0292028826905,A5ttKsvwnz8afOvxOE6D,
Denis,950.341897083438,HkbPl5zEOYhXvnZ0i7j5,
Dewi,823.5895590637297,gcQbSmeYr6c72SUHlnAX,
Emma,861.7987153749418,i401DYaFq7d101KYlROR,
Florentine,1042.915183664496,gu9cXeFIN6VCusACNcVM,
Fré,1000.0,yoX21Kidhmj9FiJHMOHA,
Gerben,943.9427093521176,rXZXTcBCpRDnjcPXlJF0,
GertB,942.3516732904186,Xuo4I1BhkG7XXyVfHXBT,
Gijs,889.5697876992816,IHlBMyWImEhM9ctA8kwe,
Hilde,1012.4859609003192,efekhJmOqaMYTzJrJTsU,
Isis,985.3384525321952,8afeVSoF1d0E2RckpHds,
Jan,1000.0,oCivehRPEIH35vtmBNjs,
JanWillem,962.5775369642496,aj3Nw5FqLMKcx6zUPsLs,
Jeffrey,929.0687469509744,1WI4LmqMwCTuCfuLqHCB,
Jesse,977.5493758678862,86yxXs068LxMoyxAt7yt,
Johanna,1027.375212247462,sHq5upLiZDV4wxcBy65m,
Johannes,974.7852232411018,hl89HbuNECxVqnSRHnji,
Jordi,936.1950374344414,C2VfxREQxKNbJQb8XIXm,
Kevin,954.1812472204232,HqbhMNs0QHRyKmvRlkyv,
Kwint,1090.238270706212,F7rn0LyN5HpxRnSewdIv,
Lara,950.523651772978,fI6sST1O0HPfDCDKoCte,
Laura,898.8022893829324,FojOylj927kWaJj4hohW,
LauraThöni,1000.0,YwIEyrOdOm1p36ERGuaw,
Leyton,941.5699645627222,IjZyVqyz2adC3W18vSNO,
Lieke,1069.0923268656018,5G8uKkoMcEmm8zyhseY6,
Léon,937.5699565521732,3MS5NcGGmuAHE9ca5XSK,['L�on']
Marc,991.3584176751026,GSVXVPmsydcSnetm6xVs,
Martin,953.869304069162,329JXiy8PGdk3Gb660yZ,
Mitchel,940.4441784169742,kKy1dtTA74rYGMLBZzQU,
Nikki,1116.616433273417,j2W4expb7Q9yYtrWSXmu,
Nynke,1058.0066723396285,3watA03hhDkTwooDwtR7,
PaulVanEersel,953.5676831134396,FwdDrvkprz4XfypwJI3J,
Pim,1207.712160376132,SOGWoguAb9sQvIKbHFK4,
Rick,1327.9594321833852,eXqP68HCFpkb5ak75Jls,
Rob,891.5093849666071,ExABVREpRZQsltkN1LhR,
Robert,1317.203766105827,MaHdJi2Gv3AP0f37uXVE,
Sam,718.653533443193,IvcF40A7NMmpuja8Jukg,
Simi,1068.1989948716223,Cpx19D6kVxR7FCgKh6i7,
Simon,932.2060079659078,m9F85VkYnOllMV8yuWab,
Sophie,892.6639901277407,VllAcOVkj7HTT3YFZeoJ,
SophieL,948.08608351041,YTBVqn6eaFFyILBjJo2X,
SophieLotringen,1000.0,yMYLh9O8aUhh92KF64yG,
SophieW,751.9731529415836,VXI7XEJGdd0ubBPQhROk,
Stefan,1146.535254175431,RkHs1ZiNZzatp38hzZEc,
Taryll,1007.5363134211034,ObWhOZe8jttb9so45cvx,
TestThuisA,1118.001055844165,mVPoow8Ge2i1cJwNPlrz,
TestThuisB,1118.001055844165,pYCACFT0sb41KVBdS85a,
TestUitA,881.998944155835,1NO4xew1ceLzkHfwxglc,
TestUitB,881.998944155835,vrcaPb7NitjPICSkgZ9W,
Vincent,935.6391525980908,8iXEECqSzGnVqe1gSfpO,
Walter,876.081060540251,kwAv1HmLTfRYqDnN4fnv,
Wibren,903.1308512391546,wVQY1BTJ5pn1tMdZT7SD,
Wolter,914.1675639453284,OMEFm8DdXwuxH96bbJ6k,
Yasin,878.4044625324439,98cWwshutCwVBmBSz7vo,
